organization,department,birth_date,work_phone,office,corporate_email
Подразделение организации,,,,,
Должность,Сотрудник,,,,
Дороги России,Сотрудник,,,,
1. Административный департамент,Сотрудник,,,,
1.1. Административный департамент,Сотрудник,,,,
Административный директор-руководитель аппарата,Белоусов Семен Агафонович,1971-04-25,+7 (179) 370-26-88,402А,белоусов@гкдр.ру
Руководитель контрольно-ревизионного направления,Матвеев Вадим Юрьевич,1989-06-20,+7 (711) 977-16-52,402А,матвеев@гкдр.ру
1.2. Договорной отдел,Матвеев Вадим Юрьевич,,,,
Начальник отдела,Ермакова Юнона Руслановна,1979-04-14,+7 (210) 088-64-36,482,ермакова@гкдр.ру
Старший специалист,Евсеева Генриетта Дмитриевна,1967-05-18,+7 (904) 027-35-92,482,евсеева@гкдр.ру
Старший специалист,Шарапова Дария Андреевна,1971-08-21,+7 (212) 625-28-08,482,шарапова@гкдр.ру
1.3. Общий отдел,Шарапова Дария Андреевна,,,,
Начальник отдела,Кузьмина Галина Максовна,1969-01-15,+7 (370) 519-03-10,479,кузьмина@гкдр.ру
Руководитель проекта,Гурьева Янина Тимофеевна,1964-12-29,+7 (401) 189-86-51,479,гурьева@гкдр.ру
Специалист,Большакова Снежана Тарасовна,1984-05-23,+7 (223) 503-67-44,479,большакова@гкдр.ру
Старший специалист,Миронова Диша Митрофановна,1977-12-15,+7 (084) 252-77-53,479,миронова@гкдр.ру
Старший специалист,Жданова Виоланта Иосифовна,1996-05-13,+7 (900) 353-41-72,479,жданова@гкдр.ру
1.4. Отдел закупок,Жданова Виоланта Иосифовна,,,,
Начальник отдела,Колесников Анатолий Владленович,1990-02-26,+7 (438) 363-52-14,482,колесников@гкдр.ру
Старший специалист,Мухин Флор Иванович,1975-10-31,+7 (487) 123-91-17,482,мухин@гкдр.ру
1.5. Отдел протокольного сопровождения,Мухин Флор Иванович,,,,
Менеджер проектов,Воронова Устинья Митрофановна,1999-08-07,+7 (708) 393-49-39,483,воронова@гкдр.ру
Начальник отдела,Ковалёва Муза Тарасовна,1964-01-26,+7 (624) 457-34-25,483,ковалёва@гкдр.ру
1.6. Управление административно-хозяйственной деятельности,Ковалёва Муза Тарасовна,,,,
1.6.1. Отдел ИТ,Ковалёва Муза Тарасовна,,,,
Начальник отдела,Крылов Флор Максович,1996-10-07,+7 (902) 340-55-48,483,крылов@гкдр.ру
Старший специалист,Зимин Илья Серапионович,1971-05-02,+7 (565) 435-79-80,483,зимин@гкдр.ру
1.6.2. Управление административно-хозяйственной деятельности,Зимин Илья Серапионович,,,,
Ведущий специалист,Зайцев Парамон Феликсович,1984-10-15,+7 (454) 252-05-25,525,зайцев@гкдр.ру
Водитель,Маслов Модест Дамирович,1968-04-27,+7 (664) 602-03-71,525,маслов@гкдр.ру
Водитель,Исаков Велорий Витальевич,1960-06-26,+7 (098) 359-34-95,525,исаков@гкдр.ру
Водитель,Шашков Донат Владленович,1980-01-08,+7 (051) 523-43-73,525,шашков@гкдр.ру
Курьер,Тарасов Эрнест Якунович,1988-06-22,+7 (131) 790-43-24,525,тарасов@гкдр.ру
Начальник управления,Зимин Лев Евсеевич,1998-09-25,+7 (609) 728-78-87,525,зимин@гкдр.ру
Руководитель проектов,Суханов Эрнест Петрович,1966-04-23,+7 (342) 350-52-75,525,суханов@гкдр.ру
Специалист,Харитонов Любомир Андреевич,2001-05-29,+7 (933) 010-23-01,525,харитонов@гкдр.ру
Специалист по складской работе,Евдокимов Павел Пётрович,1997-01-20,+7 (676) 507-65-30,525,евдокимов@гкдр.ру
1.7. Управление безопасности,Евдокимов Павел Пётрович,,,,
